,Unnamed: 1,Age,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PTS/G
15,Blake Wesley,19,11.5,3.0,4.5,0.667,1.0,1.5,0.667,2.0,3.0,1.0,2.0,0.5,1.0,2.0,0.0,0.0,1.0,8.0
16,Isaiah Roby,24,11.2,1.6,3.6,0.447,0.5,1.5,0.318,1.1,2.0,0.4,0.9,0.407,2.5,1.1,0.4,0.2,0.6,4.0
17,Jordan Hall,21,9.2,1.0,3.1,0.321,0.3,1.7,0.2,0.7,1.4,0.8,1.0,0.778,1.3,1.2,0.1,0.0,0.8,3.1
18,Alize Johnson,26,7.5,0.8,1.5,0.5,0.0,0.5,0.0,0.8,1.0,0.3,0.5,0.5,2.5,0.3,0.3,0.0,1.0,1.8
19,Dominick Barlow,19,6.5,0.8,1.8,0.429,0.0,0.8,0.0,0.8,1.0,1.0,1.0,1.0,0.8,0.8,0.3,0.0,0.0,2.5
0,Pascal Siakam,28,37.0,9.3,19.1,0.485,1.4,4.1,0.342,7.9,15.0,6.6,8.4,0.78,8.3,6.7,1.0,0.4,2.4,26.5
1,OG Anunoby,25,36.8,6.9,14.7,0.471,1.8,5.2,0.353,5.1,9.5,3.0,3.5,0.838,5.8,2.2,2.2,0.8,2.5,18.6
2,Fred VanVleet,28,36.7,5.8,15.5,0.376,2.8,8.6,0.327,3.0,7.0,3.7,4.2,0.877,3.8,6.0,1.6,0.6,1.8,18.1
3,Scottie Barnes,21,34.0,5.9,13.2,0.449,1.0,3.2,0.3,5.0,10.0,1.9,2.5,0.765,7.0,4.7,0.9,0.7,2.3,14.8
4,Gary Trent Jr.,24,31.5,6.3,14.0,0.449,2.5,6.9,0.364,3.8,7.1,2.9,3.6,0.798,2.2,1.5,1.6,0.2,1.1,17.9
5,Chris Boucher,30,21.6,3.5,7.6,0.459,0.8,2.7,0.276,2.7,4.8,2.3,3.0,0.76,5.8,0.5,0.7,0.7,0.6,10.0
6,Precious Achiuwa,23,19.8,2.8,7.3,0.389,0.4,2.2,0.172,2.5,5.1,2.2,2.7,0.829,6.5,1.4,0.2,0.8,1.2,8.3
7,Otto Porter Jr.,29,18.3,1.9,3.8,0.5,0.8,2.1,0.353,1.1,1.6,1.0,1.0,1.0,2.4,1.0,1.4,0.0,0.5,5.5
8,Juancho Hernangómez,27,18.0,1.6,3.5,0.466,0.6,2.0,0.28,1.1,1.5,0.2,0.4,0.455,3.7,0.7,0.5,0.2,0.5,4.0
9,Thaddeus Young,34,17.2,2.2,4.1,0.548,0.1,0.7,0.182,2.1,3.4,0.4,0.6,0.737,3.6,1.7,1.1,0.1,0.8,5.0
10,Christian Koloko,22,16.1,1.4,2.9,0.475,0.0,0.2,0.125,1.3,2.7,1.0,1.5,0.667,3.3,0.5,0.3,1.2,0.5,3.7
11,Malachi Flynn,24,15.6,2.3,5.8,0.39,1.3,3.2,0.413,1.0,2.6,0.5,0.6,0.8,1.7,1.4,0.4,0.1,0.6,6.4
